Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,4,12,3,Sants-Montjuïc,16,la Bordeta,2280.9,1145,,,,,49.6,83.8,,,,17.6
2014,1,1,3,Sants-Montjuïc,17,Sants - Badal,2324.1,1384,,,,,49.6,85.1,,,,17.6
2014,1,2,3,Sants-Montjuïc,17,Sants - Badal,2324.1,1381,,,,,49.6,85.1,,,,17.6
2014,1,3,3,Sants-Montjuïc,17,Sants - Badal,2324.1,1380,,,,,49.6,85.1,,,,17.6
2014,2,4,3,Sants-Montjuïc,17,Sants - Badal,1941.4,1377,,,,,49.6,85.1,,,,17.6
2014,2,5,3,Sants-Montjuïc,17,Sants - Badal,1941.4,1322,,,,,49.6,85.1,,,,17.6
2014,2,6,3,Sants-Montjuïc,17,Sants - Badal,1941.4,1310,,,,,49.6,85.1,,,,17.6
2014,3,7,3,Sants-Montjuïc,17,Sants - Badal,3140.1,1317,,,,,49.6,85.1,,,,17.6
2014,3,8,3,Sants-Montjuïc,17,Sants - Badal,3140.1,1331,,,,,49.6,85.1,,,,17.6
2014,3,9,3,Sants-Montjuïc,17,Sants - Badal,3140.1,1318,,,,,49.6,85.1,,,,17.6
2014,4,10,3,Sants-Montjuïc,17,Sants - Badal,2559.9,1325,,,,,49.6,85.1,,,,17.6
2014,4,11,3,Sants-Montjuïc,17,Sants - Badal,2559.9,1315,,,,,49.6,85.1,,,,17.6
2014,4,12,3,Sants-Montjuïc,17,Sants - Badal,2559.9,1282,,,,,49.6,85.1,,,,17.6
2014,1,1,3,Sants-Montjuïc,18,Sants,4152.5,2564,,,,,49.6,84.1,,,,17.6
2014,1,2,3,Sants-Montjuïc,18,Sants,4152.5,2558,,,,,49.6,84.1,,,,17.6
2014,1,3,3,Sants-Montjuïc,18,Sants,4152.5,2540,,,,,49.6,84.1,,,,17.6
2014,2,4,3,Sants-Montjuïc,18,Sants,3119.9,2540,,,,,49.6,84.1,,,,17.6
2014,2,5,3,Sants-Montjuïc,18,Sants,3119.9,2454,,,,,49.6,84.1,,,,17.6
2014,2,6,3,Sants-Montjuïc,18,Sants,3119.9,2430,,,,,49.6,84.1,,,,17.6
2014,3,7,3,Sants-Montjuïc,18,Sants,2461.2,2433,,,,,49.6,84.1,,,,17.6
2014,3,8,3,Sants-Montjuïc,18,Sants,2461.2,2463,,,,,49.6,84.1,,,,17.6
2014,3,9,3,Sants-Montjuïc,18,Sants,2461.2,2439,,,,,49.6,84.1,,,,17.6
2014,4,10,3,Sants-Montjuïc,18,Sants,2766.7,2456,,,,,49.6,84.1,,,,17.6
2014,4,11,3,Sants-Montjuïc,18,Sants,2766.7,2425,,,,,49.6,84.1,,,,17.6
2014,4,12,3,Sants-Montjuïc,18,Sants,2766.7,2380,,,,,49.6,84.1,,,,17.6
2014,1,1,4,Les Corts,19,les Corts,3032.0,2627,,,,,59.0,85.5,,,,9.7
2014,1,2,4,Les Corts,19,les Corts,3032.0,2613,,,,,59.0,85.5,,,,9.7
2014,1,3,4,Les Corts,19,les Corts,3032.0,2595,,,,,59.0,85.5,,,,9.7
2014,2,4,4,Les Corts,19,les Corts,3385.4,2580,,,,,59.0,85.5,,,,9.7
2014,2,5,4,Les Corts,19,les Corts,3385.4,2494,,,,,59.0,85.5,,,,9.7
2014,2,6,4,Les Corts,19,les Corts,3385.4,2445,,,,,59.0,85.5,,,,9.7
2014,3,7,4,Les Corts,19,les Corts,3654.9,2479,,,,,59.0,85.5,,,,9.7
2014,3,8,4,Les Corts,19,les Corts,3654.9,2486,,,,,59.0,85.5,,,,9.7
2014,3,9,4,Les Corts,19,les Corts,3654.9,2480,,,,,59.0,85.5,,,,9.7
2014,4,10,4,Les Corts,19,les Corts,4000.0,2492,,,,,59.0,85.5,,,,9.7
2014,4,11,4,Les Corts,19,les Corts,4000.0,2461,,,,,59.0,85.5,,,,9.7
2014,4,12,4,Les Corts,19,les Corts,4000.0,2422,,,,,59.0,85.5,,,,9.7
2014,1,1,4,Les Corts,20,la Maternitat i Sant Ramon,3335.8,1368,,,,,59.0,86.5,,,,9.7
2014,1,2,4,Les Corts,20,la Maternitat i Sant Ramon,3335.8,1365,,,,,59.0,86.5,,,,9.7
2014,1,3,4,Les Corts,20,la Maternitat i Sant Ramon,3335.8,1365,,,,,59.0,86.5,,,,9.7
2014,2,4,4,Les Corts,20,la Maternitat i Sant Ramon,3594.9,1362,,,,,59.0,86.5,,,,9.7
2014,2,5,4,Les Corts,20,la Maternitat i Sant Ramon,3594.9,1307,,,,,59.0,86.5,,,,9.7
2014,2,6,4,Les Corts,20,la Maternitat i Sant Ramon,3594.9,1295,,,,,59.0,86.5,,,,9.7
